family,order_1,order_2,order_3,order_4,order_5,order_6,order_7
1.0,1,5,13,132,169,,
1.0,2,83,133,,,,
1.0,3,157,,,,,
1.0,4,47,53,130,162,,
1.0,6,30,105,116,119,,
1.0,7,44,61,64,121,,
1.0,8,33,110,166,174,,
1.0,9,10,28,107,122,,
1.0,11,19,57,67,88,135,165
1.0,12,31,94,131,137,158,164
1.0,14,41,58,72,125,,
1.0,15,16,128,143,,,
1.0,17,49,79,115,,,
1.0,18,40,114,160,,,
1.0,20,27,120,175,,,
1.0,21,78,155,,,,
1.0,22,144,172,,,,
1.0,23,70,129,159,,,
1.0,24,81,148,153,,,
1.0,25,123,,,,,
1.0,26,34,112,118,150,152,
1.0,29,55,103,113,173,,
1.0,32,167,,,,,
1.0,35,42,63,68,82,102,171
1.0,36,38,50,104,,,
1.0,37,39,56,126,154,163,
1.0,43,73,76,108,149,170,
1.0,45,77,96,141,146,,
1.0,46,54,69,111,,,
1.0,48,62,74,86,95,97,98
1.0,51,65,84,106,156,,
1.0,52,91,136,145,,,
1.0,59,66,71,92,168,,
1.0,60,,,,,,
1.0,75,90,99,109,138,,
1.0,80,117,139,,,,
1.0,85,100,134,161,,,
1.0,87,101,140,151,,,
1.0,89,127,142,147,,,
1.0,93,124,,,,,
