family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1.0,1,90,130,160,173,,,,,,
1.0,2,15,81,115,203,224,,,,,
1.0,3,55,68,146,200,,,,,,
1.0,4,6,39,139,202,,,,,,
1.0,5,20,24,113,128,148,156,206,212,221,229
1.0,7,9,91,123,147,166,187,,,,
1.0,8,186,213,226,,,,,,,
1.0,10,27,83,121,,,,,,,
1.0,11,64,79,94,204,,,,,,
1.0,12,59,131,154,210,,,,,,
1.0,13,43,99,145,163,194,,,,,
1.0,14,108,162,,,,,,,,
1.0,16,44,124,141,225,,,,,,
1.0,17,114,136,157,,,,,,,
1.0,18,21,31,87,97,105,,,,,
1.0,19,76,177,198,215,,,,,,
1.0,22,37,63,216,,,,,,,
1.0,23,38,104,107,152,235,,,,,
1.0,25,36,40,151,180,185,,,,,
1.0,26,71,168,183,,,,,,,
1.0,28,50,133,195,227,,,,,,
1.0,29,48,169,223,,,,,,,
1.0,30,86,237,,,,,,,,
1.0,32,41,57,135,205,214,236,,,,
1.0,33,78,217,218,,,,,,,
1.0,34,80,132,,,,,,,,
1.0,35,98,143,209,,,,,,,
1.0,42,67,102,159,179,208,,,,,
1.0,45,84,120,153,161,164,175,,,,
1.0,46,47,178,,,,,,,,
1.0,49,61,106,142,158,,,,,,
1.0,51,72,88,174,211,222,232,,,,
1.0,52,116,167,189,239,,,,,,
1.0,53,62,69,140,171,231,,,,,
1.0,54,82,144,184,,,,,,,
1.0,56,60,92,191,230,,,,,,
1.0,58,228,,,,,,,,,
1.0,65,197,220,,,,,,,,
1.0,66,101,109,196,,,,,,,
1.0,70,73,172,181,192,219,,,,,
1.0,74,112,155,182,,,,,,,
1.0,75,103,165,,,,,,,,
1.0,77,201,,,,,,,,,
1.0,85,93,170,207,233,,,,,,
1.0,89,100,111,127,138,149,,,,,
1.0,95,119,134,199,234,240,,,,,
1.0,96,122,126,150,190,,,,,,
1.0,110,188,,,,,,,,,
1.0,117,,,,,,,,,,
1.0,118,125,137,,,,,,,,
1.0,129,176,193,238,,,,,,,
