family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9
1.0,1,55,122,242,,,,,
1.0,2,108,115,203,204,281,293,,
1.0,3,13,43,91,93,123,267,274,275
1.0,4,6,39,139,202,284,,,
1.0,5,24,61,106,137,198,297,,
1.0,7,9,19,31,74,285,316,,
1.0,8,20,263,,,,,,
1.0,10,27,161,229,,,,,
1.0,11,60,64,78,142,192,235,265,
1.0,12,44,154,271,289,,,,
1.0,14,21,42,49,63,302,,,
1.0,15,26,172,270,,,,,
1.0,16,36,175,,,,,,
1.0,17,34,177,322,,,,,
1.0,18,94,130,156,279,319,,,
1.0,22,84,120,141,146,200,241,,
1.0,23,38,57,104,140,218,225,321,
1.0,25,58,67,151,152,180,210,214,236
1.0,28,50,144,178,185,288,,,
1.0,29,112,155,182,215,219,,,
1.0,30,68,69,89,166,186,213,227,277
1.0,32,48,66,82,184,314,320,,
1.0,33,65,75,158,208,247,,,
1.0,35,71,76,191,239,,,,
1.0,37,99,145,149,168,189,257,,
1.0,40,59,80,245,,,,,
1.0,41,259,306,,,,,,
1.0,45,153,224,228,251,304,,,
1.0,46,47,114,282,313,,,,
1.0,51,211,253,273,296,,,,
1.0,52,81,119,226,269,278,,,
1.0,53,124,167,268,292,299,,,
1.0,54,125,128,135,205,255,290,291,317
1.0,56,212,221,244,300,,,,
1.0,62,196,206,287,307,,,,
1.0,70,73,216,283,312,323,,,
1.0,72,88,217,233,256,262,,,
1.0,77,87,97,249,,,,,
1.0,79,86,237,246,295,,,,
1.0,83,90,160,315,,,,,
1.0,85,116,159,254,261,286,,,
1.0,92,113,131,148,308,309,,,
1.0,95,126,150,183,197,220,298,,
1.0,96,101,230,,,,,,
1.0,98,133,195,207,310,,,,
1.0,100,111,272,,,,,,
1.0,102,179,260,,,,,,
1.0,103,132,143,209,223,250,,,
1.0,105,129,164,171,243,305,318,,
1.0,107,188,222,231,252,303,,,
1.0,109,181,201,,,,,,
1.0,110,134,147,170,311,,,,
1.0,117,157,,,,,,,
1.0,118,121,173,176,,,,,
1.0,127,162,187,,,,,,
1.0,136,163,264,,,,,,
1.0,138,169,280,294,,,,,
1.0,165,194,232,248,,,,,
1.0,174,190,266,301,,,,,
1.0,193,238,258,,,,,,
1.0,199,234,240,276,,,,,
