family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10
1.0,1,64,94,202,284,385,454,,,
1.0,2,108,115,203,204,264,278,478,,
1.0,3,5,17,106,379,380,415,,,
1.0,4,111,331,486,,,,,,
1.0,6,39,439,,,,,,,
1.0,7,29,141,148,495,,,,,
1.0,8,186,258,407,432,,,,,
1.0,9,53,89,346,421,467,,,,
1.0,10,14,214,279,399,469,,,,
1.0,11,62,83,424,484,494,,,,
1.0,12,44,271,289,352,366,472,,,
1.0,13,373,,,,,,,,
1.0,15,26,71,100,226,294,337,460,,
1.0,16,24,247,295,309,394,400,420,441,446
1.0,18,68,146,225,321,347,361,452,,
1.0,19,22,31,67,298,302,318,372,423,476
1.0,20,33,52,181,200,208,388,,,
1.0,21,92,458,474,,,,,,
1.0,23,38,49,130,261,324,468,,,
1.0,25,32,392,442,475,,,,,
1.0,27,45,75,87,249,,,,,
1.0,28,43,163,199,217,285,416,,,
1.0,30,60,70,241,301,,,,,
1.0,34,156,191,254,470,,,,,
1.0,35,73,189,270,,,,,,
1.0,36,386,464,,,,,,,
1.0,37,54,177,319,367,397,485,,,
1.0,40,72,88,113,154,273,296,304,,
1.0,41,46,78,86,418,457,481,,,
1.0,42,135,151,180,314,408,,,,
1.0,47,84,210,245,374,,,,,
1.0,48,56,149,290,336,342,,,,
1.0,50,250,344,376,,,,,,
1.0,51,158,280,405,413,,,,,
1.0,55,124,176,362,436,477,,,,
1.0,57,58,223,265,341,384,,,,
1.0,59,69,164,167,228,365,455,,,
1.0,61,82,184,381,444,,,,,
1.0,63,101,138,171,390,,,,,
1.0,65,153,382,411,,,,,,
1.0,66,269,272,483,,,,,,
1.0,74,99,274,437,,,,,,
1.0,76,85,276,412,465,,,,,
1.0,77,201,,,,,,,,
1.0,79,216,255,,,,,,,
1.0,80,326,435,,,,,,,
1.0,81,114,139,192,240,351,370,419,,
1.0,90,178,207,281,451,,,,,
1.0,91,98,152,409,491,,,,,
1.0,93,215,378,,,,,,,
1.0,95,123,212,282,383,428,,,,
1.0,96,293,297,303,364,426,456,,,
1.0,97,328,445,,,,,,,
1.0,102,119,313,479,,,,,,
1.0,103,136,137,286,305,417,429,,,
1.0,104,179,308,369,448,,,,,
1.0,105,133,195,422,492,,,,,
1.0,107,110,125,129,168,334,396,,,
1.0,109,112,235,438,,,,,,
1.0,116,143,162,174,275,343,371,,,
1.0,117,157,268,306,433,,,,,
1.0,118,299,320,356,,,,,,
1.0,120,257,,,,,,,,
1.0,121,134,160,237,353,395,,,,
1.0,122,170,339,348,,,,,,
1.0,126,213,224,251,266,300,410,,,
1.0,127,188,401,,,,,,,
1.0,128,329,363,453,473,,,,,
1.0,131,132,166,205,256,357,450,488,493,
1.0,140,185,236,311,430,449,,,,
1.0,142,145,221,377,461,482,,,,
1.0,144,211,253,287,322,323,459,,,
1.0,147,231,425,,,,,,,
1.0,150,288,350,389,403,434,,,,
1.0,155,159,283,333,358,463,466,,,
1.0,161,229,233,340,354,402,406,,,
1.0,165,169,471,,,,,,,
1.0,172,335,387,431,,,,,,
1.0,173,391,480,,,,,,,
1.0,175,206,248,292,315,360,404,,,
1.0,182,190,209,462,,,,,,
1.0,183,359,,,,,,,,
1.0,187,242,307,,,,,,,
1.0,193,196,239,262,489,,,,,
1.0,194,317,327,332,368,414,,,,
1.0,197,220,227,230,277,345,398,490,,
1.0,198,222,244,338,355,496,,,,
1.0,218,252,330,349,427,,,,,
1.0,219,263,267,487,,,,,,
1.0,232,238,260,310,393,447,,,,
1.0,234,246,312,325,443,,,,,
1.0,243,259,440,,,,,,,
1.0,291,316,375,,,,,,,
